Timestamp dT0 sum(dT0) dT1 sum(dT1) dT2 sum(dT2) L0 L1N L1S L2 30S(Tg) 15S(Tg) 15N(Tg) 30N(Tg)
2035 0.2147 0.2147 0.0799 0.0799 0.035 0.035 0.0201 0 0 0 0. 0.602 0.602 0.
2036 0.156472327623 0.371172327623 0.0479714607209 0.127871460721 -0.0246508386056 0.0103491613944 0.0395269982535 0.00245507645309 0 0 0. 1.11215765 1.22263609 0.04910153
2037 0.118351426052 0.489523753675 -0.00783952868405 0.120031932037 -0.0405195485456 -0.0301703871512 0.0558607961414 0.00248930592587 0 0 0. 1.60114471 1.71316347 0.04978612
2038 0.190008754286 0.679532507961 -0.0109264627282 0.109105469309 0.0158614344147 -0.0143089527365 0.0747740438957 0.00157145859947 0 0 0. 2.19607756 2.2667932 0.03142917
2039 0.316606516235 0.996139024196 0.0394483405548 0.148553809864 0.0764743573114 0.0621654045749 0.0982604065586 0.00363781165645 0 0.0192296087973 0.76918435 2.26178958 2.42549111 0.84194059
2040 0.353619174291 1.34975819849 0.00661103210315 0.155164841967 0.0334305751209 0.0955959796958 0.124028948779 0 0.00340417964342 0.00908447918096 0.43146276 3.49939678 3.3462087 0.36337917
2041 0.34801396575 1.69777216424 0.0237942898327 0.1789591318 0.0650258379146 0.16062181761 0.144110360046 0 0.0034516104405 0.032964182345 1.3875995 3.38615949 3.23083702 1.31856729
2042 0.264045177537 1.96181734178 -0.0298503570087 0.149108774791 0.059236272656 0.219858090266 0.161221088981 0 0.0113864831927 0.0463441571282 2.08149595 3.6171052 3.10471346 1.85376629
2043 0.377764360084 2.33958170186 -0.0138299469186 0.135278827872 0.013312608661 0.233170698927 0.184030568822 0 0.015718615731 0.0271753590338 1.40138668 4.94143553 4.23409782 1.08701436
2044 0.283772175111 2.62335387697 -0.0215980579117 0.11368076996 0.0327438746515 0.265914573578 0.201318873652 0 0.0196663751593 0.0399810290946 1.99256867 5.13513096 4.25014408 1.59924116
2045 0.357983441092 2.98133731806 -0.0320622775316 0.0816184924284 -0.0451308638044 0.220783709774 0.223043367802 0 0.0268232019645 0 0.53646404 7.09364906 5.88660498 0.
2046 0.333488611664 3.31482592972 -0.00179708201453 0.0798214104139 -0.0453195342617 0.175464175512 0.233454051578 0 0.0275068461252 0 0.55013692 7.41622424 6.17841616 0.
2047 0.023377613101 3.33820354282 -0.0540776245026 0.0257437859113 0.00427445125136 0.179738626763 0.232962928185 0 0.0328920056226 0 0.65784011 7.48226793 6.00212768 0.
2048 0.01022586343 3.34842940625 -0.059618059099 -0.0338742731877 0.0428849761443 0.222623602907 0.237665482027 0 0.0377716683388 0.0213752852289 1.61044478 7.05528093 5.35555585 0.85501141
2049 0.0113903156914 3.35981972194 -0.100506993848 -0.134381267036 0.0444128569405 0.267036459848 0.242651331842 0 0.0485336578889 0.0354790431492 2.38983488 6.94317353 4.75915892 1.41916173
2050 0.0298456204784 3.38966534242 -0.0520109044812 -0.186392171517 0.0867216606594 0.353758120507 0.248291336335 0 0.0492402769332 0.074852641103 3.97891118 5.94176501 3.72595255 2.99410564
2051 0.00459793884164 3.39426328126 -0.0403333545251 -0.226725526042 0.0213293432514 0.375087463758 0.252669543603 0 0.0512091138707 0.0614828834592 3.48349762 6.50373651 4.19932639 2.45931534
2052 0.13558145019 3.52984473145 0.0343100448761 -0.192415481166 0.0585650596226 0.433652523381 0.26230377996 0 0.0454439889146 0.086494586773 4.36866325 5.95593563 3.91095613 3.45978347
2053 -0.0122129461406 3.51763178531 -0.0309416237827 -0.223357104949 -0.00747578778983 0.426176735591 0.264131743154 0 0.0512232766519 0.0664855309572 3.68388677 6.69773552 4.39268807 2.65942124
2054 -0.152114212369 3.36551757294 -0.0400458662743 -0.263402971223 -0.00712019605455 0.419056539536 0.263543957457 0 0.0522523382128 0.0697188576679 3.83380107 6.59853807 4.24718285 2.78875431
2055 -0.188462509682 3.17705506326 -0.0957189250566 -0.35912189628 -0.00928084121983 0.409775698316 0.26418601725 0 0.0615951357118 0.0702631516836 4.04242878 6.741613 3.9698319 2.81052607
