Timestamp dT0 sum(dT0) dT1 sum(dT1) dT2 sum(dT2) L0 L1N L1S L2 30S(Tg) 15S(Tg) 15N(Tg) 30N(Tg)
2035 0.2147 0.2147 0.0799 0.0799 0.035 0.035 0.0201 0 0 0 0. 0.602 0.602 0.
2036 0.194676293025 0.409376293025 -0.0453156998033 0.0345843001967 -0.0635124866346 -0.0285124866346 0.0398066512803 0 0.00038269812457 0 0.00765396 1.19994001 1.18271859 0.
2037 0.185665536004 0.595041829029 -0.0568583561876 -0.0222740559909 -0.054021711929 -0.0825341985636 0.0571259277378 0 0.00352642383723 0 0.07052848 1.76667419 1.60798512 0.
2038 0.0501334147521 0.645175243781 -0.00281459029802 -0.0250886462889 -0.00232296527866 -0.0848571638423 0.0728609699069 0 0.00355101495021 0 0.0710203 2.23909432 2.07929865 0.
2039 0.0692891118028 0.714464355584 -0.000691541456481 -0.0257801877454 0.0402433032169 -0.0446138606254 0.0905159626092 0 0.00618431727214 0 0.12368635 2.80824364 2.52994936 0.
2040 0.159024672732 0.873489028316 -0.0368227621647 -0.0626029499101 0.0205159750323 -0.0240978855931 0.111752143586 0 0.0169342564838 0 0.33868513 3.60657815 2.84453661 0.
2041 0.280316883468 1.15380591178 -0.0242600466527 -0.0868629965628 -7.23359323462e-06 -0.0241051191863 0.132916921021 0 0.0214897887307 0 0.42979577 4.30985446 3.34281397 0.
2042 0.152297393536 1.30610330532 -0.0100726324288 -0.0969356289916 -0.0187186325868 -0.0428237517731 0.147176537667 0 0.0214020884795 0 0.42804177 4.73632746 3.77323348 0.
2043 0.276401949869 1.58250525519 -0.123638659395 -0.220574288386 -0.0220588162683 -0.0648825680414 0.168321137741 0 0.0429282358942 0 0.85856472 5.69355767 3.76178706 0.
2044 0.29899516288 1.88150041807 0.00705749625981 -0.213516792126 0.0110091193982 -0.0538734486432 0.18802153603 0 0.0354979195444 0 0.70995839 6.17311487 4.57570849 0.
2045 0.19329365992 2.07479407799 -0.00134034903698 -0.214857141163 0.0716326336775 0.0177591850343 0.203439803513 0 0.0370326738139 0 0.74065348 6.65868421 4.99221389 0.
2046 0.1149340958 2.18972817379 -0.0175569498023 -0.232414090965 0.00578325735998 0.0235424423943 0.208865215004 0 0.0399104791366 0 0.79820958 6.86461364 5.06864208 0.
2047 0.171787758086 2.36151593188 -0.0583813530268 -0.290795443992 -0.0627044348408 -0.0391619924465 0.217805450558 0 0.0494727415786 0 0.98945483 7.27625464 5.04998127 0.
2048 0.0373581055308 2.39887403741 -0.0095910310962 -0.300386475088 0.0145739578409 -0.0245880346056 0.220785138808 0 0.0456328303236 0 0.91265661 7.30804662 5.25456925 0.
2049 0.166499753028 2.56537379044 0.014292342501 -0.286094132587 -0.0152569371183 -0.0398449717239 0.230951473999 0 0.0454633177162 0 0.90926635 7.61049399 5.56464469 0.
2050 0.10717504422 2.67254883466 -0.0428788045014 -0.328972937088 -0.0348985096859 -0.0747434814098 0.236583232698 0 0.0534349096335 0 1.06869819 7.89902063 5.49444969 0.
2051 0.0758069493176 2.74835578398 -0.108256865015 -0.437229802103 -0.0529881923386 -0.127731673748 0.242152561295 0 0.0669162350436 0 1.3383247 8.26832036 5.25708979 0.
2052 -0.0166087526224 2.73174703136 -0.00641064218435 -0.443640444287 -0.00546487369991 -0.133196547448 0.244913511337 0 0.0587323620617 0 1.17464724 8.22839077 5.58543448 0.
2053 -0.00627978696519 2.72546724439 -0.026301971746 -0.469942416033 0.00567226529702 -0.127524282151 0.249743708868 0 0.0622477676352 0 1.24495535 8.42602778 5.62487824 0.
2054 0.114691328448 2.84015857284 -0.0823648163194 -0.552307232352 -0.0136946261752 -0.141218908326 0.258812429152 0 0.0748276818618 0 1.49655364 8.8867881 5.51954242 0.
2055 -0.127398284827 2.71276028801 -0.129246294843 -0.681553527195 -0.021978234043 -0.163197142369 0.256806898177 0 0.0847092889286 0 1.69418578 8.97484628 5.16292828 0.
2056 -0.145938080028 2.56682220798 -0.0690872592988 -0.750640786494 -0.0306219615299 -0.193819103899 0.258553050622 0 0.083876611619 0 1.67753223 9.01474069 5.24029317 0.
2057 0.00275803420328 2.56958024218 -0.0326292568036 -0.783270043298 0.0134253113833 -0.180393792516 0.266080759099 0 0.0849741125266 0 1.69948225 9.25703446 5.4331994 0.
2058 -0.0441003654238 2.52547987676 0.00878829047791 -0.77448175282 0.0151963018452 -0.165197490671 0.269172311259 0 0.0803613402431 0 1.6072268 9.28058944 5.66432913 0.
2059 -0.16998056264 2.35549931412 -0.105165360901 -0.879647113721 -0.0589343625916 -0.224131853263 0.268514156915 0 0.094153875915 0 1.88307752 9.46773285 5.23080843 0.
2060 -0.00668468364876 2.34881463047 -0.0431448225279 -0.922791936249 0.0223793005711 -0.201752552692 0.276136239351 0 0.0941655269493 0 1.88331054 9.69657008 5.45912137 0.
2061 -0.0422101010537 2.30660452942 -0.0746787278307 -0.99747066408 -0.0345923850844 -0.236344937776 0.279469776924 0 0.10145205823 0 2.02904116 9.90587418 5.34053156 0.
2062 -0.259744439199 2.04686009022 -0.0323974925837 -1.02986815666 0.00787080165435 -0.228474136122 0.27549167286 0 0.0963407115952 0 1.92681423 9.70986086 5.37452884 0.
2063 -0.162010357538 1.88484973268 -0.0517831091968 -1.08165126586 -0.0316122955423 -0.260086431664 0.279071514572 0 0.101111588724 0 2.02223177 9.88881927 5.33879778 0.
2064 -0.149407139888 1.73544259279 -0.0609915704146 -1.14264283627 -0.0791780156754 -0.339264447339 0.281324100356 0 0.105145895218 0 2.1029179 10.01691144 5.28534615 0.
2065 -0.0800032199587 1.65543937283 -0.0795346805127 -1.22217751678 -0.0615080931084 -0.400772540447 0.285886230726 0 0.112434169255 0 2.24868339 10.26309946 5.20356184 0.
2066 -0.14557665249 1.50986272034 -0.0956418376797 -1.31781935446 -0.0749892169377 -0.475761757385 0.286778281732 0 0.118916845289 0 2.37833691 10.38710113 5.03584309 0.
2067 -0.367328017049 1.14253470329 -0.127903234935 -1.44572258939 -0.0485706814424 -0.524332438827 0.280754226609 0 0.125587165751 0 2.51174332 10.30643428 4.65501183 0.
2068 -0.17377648211 0.96875822118 -0.150458099388 -1.59618068878 -0.112173546651 -0.636505985478 0.285872207637 0 0.138795983661 0 2.77591967 10.65810598 4.41228672 0.
2069 0.0834083594427 1.05216658062 -0.0243972940132 -1.62057798279 -0.0853467456185 -0.721852731097 0.296861160776 0 0.134257149045 0 2.68514298 10.91969206 4.87812035 0.
2070 -0.0739272984525 0.978239282167 -0.0183932321139 -1.6389712149 -0.0533908850922 -0.775243616189 0.297385146236 0 0.133073997511 0 2.66147995 10.91766435 4.92933446 0.
