Timestamp dT0 sum(dT0) dT1 sum(dT1) dT2 sum(dT2) L0 L1N L1S L2 30S(Tg) 15S(Tg) 15N(Tg) 30N(Tg) 
2045 0.18 0.18 0.0519 0.0519 -0.0355 -0.0355 0 0 0 0 0. 0.602 0.602 0. 
2046 0.221766367721 0.401766367721 0.0493653178045 0.101265317805 0.0379562937651 0.0024562937651 0.0403309102995 0.0020402843911 0 0.00206531949954 0.08261278 1.08675919 1.17857199 0.12341847 
2047 0.120551116918 0.522317484639 -0.0396928184843 0.0615724993207 0.0515184929238 0.0539747866889 0.0570228713341 0 0.000282143645885 0.0112832420303 0.45697255 1.37642103 1.36372457 0.45132968 
2048 0.228356091614 0.750673576253 -0.0192229347744 0.0423495645463 -0.0119133315582 0.0420614551307 0.0773351116068 0 0.00218006259286 0 0.04360125 2.35275429 2.25465147 0. 
2049 0.238346743034 0.989020319287 -0.033808593393 0.00854097115332 -0.00789097997955 0.0341704751511 0.098822312329 0 0.00870958308067 0 0.17419166 3.09531312 2.70338188 0. 
2050 0.351368170878 1.34038849017 -0.0493959082606 -0.0408549371073 -0.0231666434277 0.0110038317234 0.126081098117 0 0.0222754621047 0 0.44550924 4.11656488 3.11416908 0. 
2051 0.208013668907 1.54840215908 -0.0518086763912 -0.0926636134985 0.0420781120054 0.0530819437288 0.132020458433 0 0.0269499682548 0 0.53899937 4.36486328 3.15211471 0. 
2052 0.234184733575 1.78258689266 -0.0435183669599 -0.136181980458 -0.00288377466218 0.0501981690666 0.141541067101 0 0.0319848965406 0 0.63969793 4.72600546 3.28668512 0. 
2053 0.0262196426733 1.80880653533 -0.143626588466 -0.279808568924 -0.0608820953927 -0.0106839263261 0.14297122296 0 0.0486751568802 0 0.97350314 5.01926404 2.82888198 0. 
2054 -0.0926124048125 1.71619413052 -0.0246396449916 -0.304448213916 0.0255827784259 0.0148988520998 0.143857887044 0 0.0396360885659 0 0.79272177 4.91027794 3.12665395 0. 
2055 0.0209920090445 1.73718613956 -0.0475848818794 -0.352033095795 -0.00716032498977 0.00773852711003 0.151077099144 0 0.0461785637787 0 0.92357128 5.22499143 3.14695606 0. 
2056 0.121248267103 1.85843440666 -0.0619863165915 -0.414019412386 -0.0533689949505 -0.0456304678405 0.159886729515 0 0.053957327857 0 1.07914656 5.6059618 3.17788205 0. 
2057 -0.102584984752 1.75584942191 -0.0554509602526 -0.469470372639 0.00195802535402 -0.0436724424865 0.158669373346 0 0.0546539459667 0 1.09307892 5.57989039 3.12046282 0. 
2058 -0.163790944702 1.59205847721 -0.0577639420258 -0.527234314665 0.0159511427595 -0.027721299727 0.159308027552 0 0.0571190166512 0 1.14238033 5.63602608 3.06567033 0. 
2059 -0.0372396611228 1.55481881609 -0.0577476578844 -0.584981972549 -0.0502549771759 -0.0779762769029 0.165698527804 0 0.0622833904396 0 1.24566781 5.90520669 3.10245412 0. 
2060 0.0959560805239 1.65077489661 -0.0475210514292 -0.632503023978 -0.073790881005 -0.151767157908 0.174648103711 0 0.067188401319 0 1.34376803 6.24726913 3.22379107 0. 
2061 0.0860797972842 1.73685469389 0.0317147655894 -0.600788258389 0.0049457376518 -0.146821420256 0.180798725579 0 0.0595310846021 0 1.19062169 6.31692804 3.63802923 0. 
2062 -0.140671794514 1.59618289938 -0.0367471925537 -0.637535450943 -0.0258344664061 -0.172655886662 0.17883097517 0 0.0640914096648 0 1.28182819 6.3263004 3.44218697 0. 
2063 0.0192061362894 1.61538903567 -0.0576192863309 -0.695154737274 -0.0269863509508 -0.199642237613 0.186864311159 0 0.0716404298009 0 1.4328086 6.68053578 3.45671644 0. 
2064 -0.140936197245 1.47445283843 -0.0355211022859 -0.73067583956 0.0546046568766 -0.145037580736 0.186110671607 0 0.0698963069878 0 1.39792614 6.63176475 3.48643094 0. 
2065 -0.0288796710621 1.44557316737 -0.0626924016266 -0.793368241187 0.0205432636749 -0.124494317061 0.192388905617 0 0.077424111895 0 1.54848224 6.93302885 3.44894381 0. 
2066 0.0125946370371 1.45816780441 -0.0788543381627 -0.87222257935 -0.0120590290451 -0.136553346106 0.198134464874 0 0.0850735682279 0 1.70147136 7.22013747 3.3918269 0. 
2067 0.146898966084 1.60506677049 0.0248211559428 -0.847401423407 0.0121256267133 -0.124427719393 0.208036582735 0 0.0779707806298 0 1.55941561 7.41065919 3.90197406 0. 
2068 0.116886004989 1.72195277548 0.0737777699788 -0.773623653428 0.0653129682916 -0.0591147511014 0.214382457 0 0.069523769865 0 1.3904754 7.47433026 4.34576061 0. 
2069 0.0542706798002 1.77622345528 0.0144808859864 -0.759142767442 0.0225912146503 -0.0365235364511 0.21898584755 0 0.0728220610096 0 1.45644122 7.66190634 4.3849136 0. 
2070 -0.056126577286 1.72009687799 0.024344287675 -0.734798479767 0.0562804619338 0.0197569254827 0.220694558942 0 0.068722528916 0  1.37445058  7.6516747  4.5591609  0. 
