Timestamp dT0 sum(dT0) dT1 sum(dT1) dT2 sum(dT2) L0 L1N L1S L2 30S(Tg) 15S(Tg) 15N(Tg) 30N(Tg)
2035 0.2147 0.2147 0.0799 0.0799 0.035 0.035 0.0201 0 0 0 0. 0.602 0.602 0.
2036 0.142676293025 0.357376293025 -0.0522156998033 0.0276843001967 -0.0675124866346 -0.0325124866346 0.0305444781792 0 0.00055246212457 0 0.01104924 0.92462128 0.89976048 0.
2037 0.153029698858 0.510405991883 -0.0437617566736 -0.0160774564769 -0.0143699711702 -0.0468824578048 0.0383563492562 0 0.00277362695134 0 0.05547254 1.19229488 1.06748167 0.
2038 -0.14419406715 0.366211924733 -0.107182614924 -0.1232600714 -0.0193929370542 -0.066275394859 0.040723470362 0 0.011142727391 0 0.22285455 1.38884502 0.88742229 0.
2039 -0.300194457849 0.0660174668838 -0.181494470579 -0.304754541979 -0.118493902567 -0.184769297426 0.0396430774237 0 0.0279203000574 0 0.558406 1.60809682 0.35168332 0.
2040 -0.0752006699062 -0.00918320302242 -0.065865037363 -0.370619579342 -0.0403111026038 -0.22508040003 0.0463129179825 0 0.0320951792006 0 0.64190358 1.87081523 0.42653216 0.
2041 0.082537783948 0.0733545809256 -0.0619427089745 -0.432562288316 -0.123479793839 -0.348560193869 0.05549568742 0 0.0386626414346 0 0.77325283 2.24481024 0.50499138 0.
2042 -0.0453125057051 0.0280420752205 -0.0819821135397 -0.514544401856 -0.0681355709137 -0.416695764783 0.0571125225507 0 0.0447604221703 0 0.89520844 2.38478201 0.37056301 0.
2043 -0.319478556894 -0.291436481673 -0.0315193570291 -0.546063758885 0.0456193113107 -0.371076453472 0.0510345405085 0 0.0379021360255 0 0.75804272 2.09956826 0.39397213 0.
2044 -0.396304564645 -0.687741046318 -0.0685580303645 -0.61462178925 0.0183559094187 -0.352720544053 0.0471619653194 0 0.0415244230766 0 0.83048846 2.03772531 0.16912627 0.
2045 -0.182561639473 -0.870302685791 -0.0411976648933 -0.655819454143 -0.0640643618872 -0.41678490594 0.0525182971334 0 0.0428516804873 0 0.85703361 2.21832412 0.2899985 0.
2046 0.0371479109012 -0.83315477489 0.00111904219042 -0.654700411953 -0.0702184839616 -0.487003389902 0.0620045029604 0 0.0419312143376 0 0.83862429 2.4891033 0.60219866 0.
2047 -0.00578219880617 -0.838936973696 0.0198634097236 -0.634837002229 -0.0266075595395 -0.513610949442 0.0658987820003 0 0.0385783310873 0 0.77156662 2.55563843 0.81961353 0.
2048 -0.217706150059 -1.05664312376 -0.0345148245213 -0.66935182675 -0.0334179982624 -0.547028947704 0.062822265432 0 0.0413408629853 0 0.82681726 2.50478091 0.64444207 0.
2049 -0.0939316415635 -1.15057476532 0.0694533947595 -0.59989843199 -0.0143113291576 -0.561340276862 0.0681541041825 0 0.0285552776805 0 0.57110555 2.47295229 1.1879648 0.
2050 -0.00220444140132 -1.15277920672 -0.101171649035 -0.701070081025 -0.0790312304717 -0.640371507334 0.0745780849536 0 0.0498407018932 0 0.99681404 2.98495308 0.74212149 0.
2051 -0.106878346372 -1.25965755309 -0.0429442444193 -0.744014325444 -0.0120528905556 -0.65242439789 0.0754923930398 0 0.0467541768306 0 0.93508354 2.96608444 0.86214649 0.
2052 0.0466310597438 -1.21302649335 -0.0172668799885 -0.761281205432 -0.0506232432081 -0.703047641098 0.0839406778508 0 0.0479521526147 0 0.95904305 3.23750262 1.07965576 0.
2053 0.0174700849153 -1.19555640843 0.00429360432227 -0.75698760111 -0.0559717744112 -0.759019415509 0.088512448851 0 0.0458983680979 0 0.91796736 3.34384899 1.27842242 0.
