Timestamp dT0 sum(dT0) dT1 sum(dT1) dT2 sum(dT2) L0 L1N L1S L2 30S(Tg) 15S(Tg) 15N(Tg) 30N(Tg)
2035 0.2147 0.2147 0.0799 0.0799 0.035 0.035 0.0201 0 0 0 0. 0.602 0.602 0.
2036 0.387370682945 0.602070682945 0.0329545518102 0.11285455181 -0.000574879127343 0.0344251208727 0.0323356411134 0.00183374956061 0 0.00138798400508 0.05551936 0.87341723 0.95593596 0.09219435
2037 0.144991210491 0.747061893436 0.0585394185167 0.171393970327 0.0252393615499 0.0596644824226 0.0400298287207 0.00561962792781 0 0.00798406823947 0.31936273 0.79278398 1.04566723 0.43175529
2038 0.040677517506 0.787739410942 -0.0522184597977 0.119175510529 -0.0151301785997 0.0445343038229 0.0473817321601 0.000296314189745 0 4.68415171762e-05 0.00187366 1.41115729 1.42449143 0.00779994
2039 0.104731889828 0.89247130077 -0.0550668352779 0.0641086752511 -0.0530724949459 -0.00853819112297 0.0576704832818 0 0.00529494144416 0 0.10589883 1.80953862 1.57126626 0.
2040 0.0636020451016 0.956073345872 -0.0624169017455 0.00169177350564 0.011591737259 0.00305354613599 0.066517202512 0 0.0139026319839 0 0.27805264 2.20405556 1.57843712 0.
2041 -0.0563743858511 0.899698960021 -0.0404182431166 -0.038726469611 0.0347870081139 0.0378405542499 0.0680756968502 0 0.013676016722 0.00722695975017 0.56259872 2.03060236 1.41518161 0.28907839
2042 0.0775912558336 0.977290215855 -0.119207115963 -0.157933585574 -0.0622816186215 -0.0244410643716 0.0767329023605 0 0.0305208602916 0 0.61041721 2.75979998 1.38636126 0.
2043 0.0131390388964 0.990429254751 -0.0946083641649 -0.252541949739 -0.0190009876521 -0.0434420520237 0.080579585488 0 0.0353230685238 0 0.70646137 2.94723359 1.35769551 0.
2044 -0.120033688235 0.870395566516 -0.0615071645728 -0.314049114312 -0.0363387502168 -0.0797808022405 0.0807316223725 0 0.0351451989863 0 0.70290398 2.94912666 1.3675927 0.
2045 -0.118594991222 0.751800575294 -0.0226947527949 -0.336743867107 0.0187326876323 -0.0610481146082 0.0833733764742 0 0.0328595591729 0 0.65719118 2.99409468 1.51541452 0.
2046 -0.205199323099 0.546601252195 -0.0733693719345 -0.410113239041 0.0644363552582 0.00338824065004 0.0828190838739 0 0.0395300682577 0.0149136186209 1.38714611 2.63011498 0.85126191 0.59654474
2047 -0.102192555296 0.444408696899 -0.0618444441318 -0.471957683173 0.0401006531821 0.0434888938322 0.0876196982485 0 0.0433265778817 0.0198173832771 1.65922689 2.68396812 0.73427211 0.79269533
2048 0.123826539208 0.568235236107 -0.0303301278514 -0.502287811024 0.0439033838783 0.0873922777105 0.0988075876311 0 0.0464384960415 0.0282995159275 2.06075056 2.81181959 0.72208727 1.13198064
2049 0.0962852838543 0.664520519961 -0.0352375847358 -0.53752539576 0.0161160143495 0.10350829206 0.104851317638 0 0.0500904255362 0.02340003739 1.93781001 3.19489479 0.94082564 0.9360015
2050 0.0580974299517 0.722617949913 0.0133643755411 -0.524161020219 0.0279019486236 0.131410240684 0.110001377166 0 0.04560653307 0.0354183116123 2.32886313 2.92158996 0.86929597 1.41673246
2051 0.140874419127 0.86349236904 0.0278230987621 -0.496337921457 -0.00976325780057 0.121646982883 0.118879912223 0 0.0444691222607 0.0165278100024 1.55049485 3.7375999 1.7364894 0.6611124
2052 0.0440244620212 0.907516831061 -0.00826156318326 -0.50459948464 -0.0215340029478 0.100112979935 0.122698919949 0 0.0473250397328 0.00710343515663 1.2306382 4.17774014 2.04811335 0.28413741
2053 -0.106959117861 0.8005577132 -0.0103608512619 -0.514960335902 0.00945212199924 0.109565101934 0.122764282866 0 0.0459031125408 0.0244405195726 1.89568303 3.63825959 1.57261952 0.97762078
2054 -0.149576086838 0.650981626362 -0.0439379239979 -0.5588982599 -0.0197621985602 0.0898029033738 0.12403286423 0 0.0499814253341 0.0126769785286 1.50670765 4.09039795 1.84123381 0.50707914
2055 0.037890133614 0.688871759976 -0.0547398704247 -0.613638130325 -0.0211990667006 0.0686038366732 0.132942599796 0 0.0569787347828 0.00149054557877 1.19919652 4.79824265 2.23419958 0.05962182
2056 -0.0381434407433 0.650728319233 -0.0475709180945 -0.661209048419 0.00214361619814 0.0707474528713 0.135638874705 0 0.0589762831167 0.0115317102733 1.64079407 4.60785918 1.95392644 0.46126841
2057 0.101608050196 0.752336369429 -0.0525170332252 -0.713726081644 0.0128637149476 0.0836111678189 0.144841468593 0 0.0655116979892 0.014472980544 1.88915318 4.89373011 1.9457037 0.57891922
2058 0.0468605025771 0.799196872006 -0.0386473093967 -0.752373391041 -0.0368971711968 0.0467139966221 0.149482849955 0 0.0673052837204 0 1.34610567 5.49406475 2.46532699 0.
2059 -0.103152909478 0.696043962528 -0.0647446942518 -0.817118085293 -0.0248257692893 0.0218882273328 0.149635620557 0 0.0718292204351 0 1.43658441 5.56650692 2.334192 0.
