Timestamp dT0 sum(dT0) dT1 sum(dT1) dT2 sum(dT2) L0 L1N L1S L2 30S(Tg) 15S(Tg) 15N(Tg) 30N(Tg)
2057 0.101608050196 0.752336369429 -0.0525170332252 -0.713726081644 0.0128637149476 0.0836111678189 0.144841468593 0 0.0655116979892 0.014472980544 1.88915318 4.89373011 1.9457037 0.57891922
2058 0.258500022568 1.010836392 -0.0326098725306 -0.746335954175 -0.00934735701277 0.0742638108061 0.157228856387 0 0.0702690489442 0 1.40538098 5.77090143 2.60879422 0.
2059 0.150861430272 1.16169782227 -0.0854364689985 -0.831772423173 -0.0408008947278 0.0334629160783 0.162805548607 0 0.0810757467413 0 1.62151493 6.10030266 2.45189406 0.
2060 0.158656097466 1.32035391974 0.0298571085096 -0.801915314663 -0.0682813216339 -0.0348184055556 0.170637311886 0 0.0716689245808 0 1.43337849 6.19415323 2.96905162 0.
2061 0.188159097856 1.5085130176 -0.0342718416758 -0.836187156339 -0.0864396129067 -0.121258018462 0.17940624257 0 0.0810701124069 0 1.62140225 6.59823896 2.9500839 0.
2062 -0.211368290809 1.29714472679 -0.0113591807697 -0.847546337109 0.0557014943269 -0.0655565241351 0.173012565921 0 0.0746104398855 0 1.4922088 6.30953358 2.95206378 0.
2063 -0.378963702322 0.918181024468 -0.0143275961681 -0.861873933277 0.0326385291525 -0.0329179949826 0.167796248424 0 0.0709118136649 0 1.41823627 6.09756466 2.90653304 0.
2064 -0.28311747063 0.635063553838 -0.0566535985886 -0.918527531866 -0.0159128491393 -0.0488308441219 0.169154899037 0 0.0766514457845 0 1.53302892 6.22441866 2.7751036 0.
2065 -0.00872939943702 0.626334154401 0.0248678547905 -0.893659677075 0.00476603529931 -0.0440648088226 0.178802167016 0 0.071071107726 0 1.42142215 6.43013163 3.23193178 0.
2066 0.0860579501089 0.71239210451 -0.0402621699307 -0.933921847006 -0.044135381617 -0.0882001904396 0.186897350285 0 0.0806618744751 0 1.61323749 6.81684863 3.18706427 0.
2067 -0.205743804769 0.506648299741 -0.0502939917427 -0.984215838749 -0.0128125169652 -0.101012707405 0.182577980829 0 0.080651866365 0 1.61303733 6.68711742 3.05778343 0.
