Timestamp dT0 sum(dT0) dT1 sum(dT1) dT2 sum(dT2) L0 L1N L1S L2 30S(Tg) 15S(Tg) 15N(Tg) 30N(Tg)
2056 -0.0381434407433 0.650728319233 -0.0475709180945 -0.661209048419 0.00214361619814 0.0707474528713 0.135638874705 0 0.0589762831167 0.0115317102733 1.64079407 4.60785918 1.95392644 0.46126841
2057 0.181495163635 0.832223482868 -0.0492724278553 -0.710481476274 -0.0214841327954 0.0492633200759 0.147765336945 0 0.0664849945965 0 1.32969989 5.43023503 2.43841027 0.
2058 0.0648485394466 0.897072022315 -0.0692596384282 -0.779741114702 0.02083126703 0.0700945871059 0.15160314628 0 0.0727313298508 0.0107657202102 1.88525541 5.31609273 2.04318289 0.43062881
2059 0.130768550134 1.02784057245 -0.0272843233281 -0.80702543803 -0.0112036057041 0.0588909814018 0.159988261229 0 0.0734247985019 0 1.46849597 5.90101981 2.59690388 0.
2060 0.162509982873 1.19035055532 -0.0170579491223 -0.824083387152 -0.0603917044955 -0.00150072309367 0.16832877642 0 0.075716616546 0 1.51433233 6.18561254 2.7783648 0.
2061 0.18723801398 1.3775885693 -0.0636697308034 -0.887753117955 -0.0621063283822 -0.0636070514758 0.176993469331 0 0.0859603037486 0 1.71920607 6.59920864 2.73099497 0.
2062 -0.0277776196827 1.34981094962 -0.0275868063665 -0.915339924321 0.0116556298398 -0.051951421636 0.177336067081 0 0.0830989877897 0 1.66197976 6.56656683 2.82711238 0.
2063 0.107844233335 1.45765518295 0.0444618985071 -0.870878025814 0.00640928468458 -0.0455421369514 0.186577210747 0 0.0765534540453 0 1.53106908 6.74561813 3.3007127 0.
2064 0.0748471606691 1.53250234362 -0.0559988172958 -0.92687684311 -0.0762788960254 -0.121821032977 0.192128781643 0 0.0887177851928 0 1.7743557 7.09463023 3.10232989 0.
2065 -0.113766789798 1.41873555382 0.0805131696801 -0.84636367343 0.0645127603877 -0.0573082725893 0.191380928382 0 0.0696090071232 0 1.39218014 6.78556296 3.65315764 0.
2066 -0.201607208849 1.21712834497 -0.0171106298406 -0.863474303271 -0.0123665619894 -0.0696748345787 0.190869751077 0 0.0756000638588 0 1.51200128 6.86009349 3.45809062 0.
